,reviewText,reviewDate,reviewStar,reviewCity,reviewWebsite
609,"Superb looking marvelous beauty with a beast Engine. Will rock Indian car market. Extraordinary features that surprise. Beautiful Front design with superb headlight. Rear design is really Sex and great. Panoramic Sunroof looks deadly in the pictures, I'm definitely sure it will be a breath shocking the moment I get to see the car with my eyes. Interior are excellent.if prices would be kept in competitive range. This car would rule the sun segment. Congrats to MG Hector team. Great work done. Welcome to India and wish all the best.","Jun 04, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/superb-marvelous-62592.htm
610,MG Hector is a wonderful car in this model. Also in this price range getting a good option. The tail lights are the luxurious look and the additional sunroof is providing the energy to interior spaces of car. The diesel engine is providing extreme performance to the car like a beast. It would be my dream car.,"Jun 04, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/best-ever-suv-62591.htm
611,It has Good Safety features. E connect is definitely a USP for this car. It will redefine the SUV segment for Indians. The MG Hector comes with lots of features which are 1st in the SUV segment. MG Hector is able to get a lot of attention due to its innovative features. This SUV definitely looks value for money.,"Jun 05, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/game-changer-in-suv-segment-62621.htm
612,"In this price MG Hector is wonderful, features are excellent, hill hold, 360-degree camera view sunroof and many more it would be my dream car.","Jun 03, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/love-this-car-62320.htm
613,"To be honest I am reviewing the first time for any car. The best thing about this car is that it is future ready. No need to get upset about technical advancement. In fact, without seeing it or driving it I am already in love with this car. The looks are so mesmerizing that now it become my dream to own this car. In one word Supreme leader in your segment.","May 31, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/my-love-with-mg-hector-61798.htm
614,MG Hector is a beautiful car with a full show of styles whether we talk about that hunky pack exterior or the smooth yet durable Interior.,"Jun 05, 2019",4,NA,https://www.cardekho.com/user-review/mg-hector/best-economical-suv-62628.htm
615,MG Hector hai proved a beautiful car with a full show of styles whether we talk about that hunky pack exterior or the smooth yet durable Interior.,"Jun 04, 2019",4,NA,https://www.cardekho.com/user-review/mg-hector/a-fully-package-for-a-perfect-economical-suv-62608.htm
616,"MG Hector is a dream car in the Indian market. Looking awesome exterior and interior. Thanks, MG for arriving in India. I purchased this heartist car soon. ","Jun 04, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/amazing-car-62513.htm
617,I like I want to buy that I like for the first time in advertisement my parents told that to by this car.,"May 31, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/my-favourite-car-in-my-life-61778.htm
618,"Features and stylish elegant in look, price should be thought of. That is competing then the car leaches its peaks.","May 30, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/superb-for-indian-market-61648.htm
619,"Exterior, as well as interior, is so attractive in this segment with the affordable price. An SUV with features and abilities that make it more than just a car. Inside the tough frame and behind the assertive front, sits a heart that makes Hector a car you can connect with. The 10.4 inches, vertically mounted Full HD touch screen display Head Unit is the command center of the car. It communicates with you and the world outside, listening to your commands, and reminding you to take a coffee break over long drives. It beats to your rhythm and keeps your hands free for driving. Talk to it. It is the one thing that is always.Powered by the i-SMART NextGen technology, the MG Hector is all set to personalize your in-car experience","May 26, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/mg-hector-60881.htm
620,"MG Hector will be the best car in future and at the cheapest price ever. If you tell the voice assistant to open the door, immediately it will open the door. You can also open sunroof by Using voice assist. You can also remote control it using MG app. For example, you can slow down the AC power or you can of it. The interior and exterior are very good.","May 23, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/economical-range-car-60446.htm
621,MG Hector is a wonderful car in this model. Also in this price range getting a good option. A perfect car in terms of comfort which getting in this car. Good SUV in this range.,"May 29, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/suv-cars-61496.htm
622,It's truly more than a Human Thing. It would be a trend setter for the modern SUVs and lead from the front. It's been a dream to have such a car. MG Hector is The Smartest of its segment where it shows that even machines need to be sensitive and understand the needs. Hector is sure to build relations for generations.,"May 25, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/the-future-human-thing-60841.htm
623,It is a sporty car. The looks are very stylish. I am impressed with the engineering. ,"May 23, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/an-excellent-car-with-looks-60432.htm
624,excellent view of mg hector overall car designed in the way that anybody shall be like in the first view. cost of the mg hector is also companionable to other SUVs. I think the company is giving a big opportunity to the public feel luxurious in the low cost.4to5 person will easily sit with comfort n take the luxurious journey.,"May 22, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/feel-luxuries-with-mg-hector-60342.htm
625,Hector is just the best .coming with such advanced techno features that no.other is offering.,"May 30, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/mg-hector-61554.htm
626,Great car. We're very happy for MG  cars come in India. MG make a milestone in India.,"May 23, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/its-impressive-and-so-cool-60544.htm
627,MG hector is going to be the best car under 20lk and the best family tour car too.,"May 23, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/mg-hector-the-best-car-60494.htm
628,So nice Car India's First E-sim car. His Assistant is So Responsible. You should buy this Car.This car contains very good specs,"May 22, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/best-car-60259.htm
629,This will smash the Indian car market. I will definitely choose it. It's worthy for its estimated cost. Loved it. If we look at the features no more cars having 15-20 lakhs rupees may not provide such astonishing features. Eager to see this cheetah. If we modify further it will become unstoppable car ever in India.,"May 19, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/impressive-and-loved-59673.htm
